kata_typo,kata_benar,ini_typo,ini_baku,ini_valid
illmiah,ilmiah,YA,YA,YA
adlaah,adalah,YA,YA,YA
adalah,adalah,TIDAK,YA,YA
ilmiah,ilmiah,TIDAK,YA,YA
praktek,praktik,YA,TIDAK,YA
praktik,praktik,TIDAK,YA,YA
yang,yang,TIDAK,YA,YA
laporan,laporan,TIDAK,YA,YA
kata,kata,TIDAK,YA,YA
dalam,dalam,TIDAK,YA,YA
mahasiswa,mahasiswa,TIDAK,YA,YA
dengan,dengan,TIDAK,YA,YA
dan,dan,TIDAK,YA,YA
sering,sering,TIDAK,YA,YA
baku,baku,TIDAK,YA,YA
tidak,tidak,TIDAK,YA,YA
atau,atau,TIDAK,YA,YA
karya,karya,TIDAK,YA,YA
tulis,tulis,TIDAK,YA,YA
harus,harus,TIDAK,YA,YA
typo,,YA,TIDAK,TIDAK
di,di,TIDAK,YA,YA
akhir,akhir,TIDAK,YA,YA
penulisan,penulisan,TIDAK,YA,YA
menggunakan,menggunakan,TIDAK,YA,YA
sesuai,sesuai,TIDAK,YA,YA
bahasa,bahasa,TIDAK,YA,YA
indonesia,indonesia,TIDAK,YA,YA
ditemukan,temu,YA,YA,TIDAK
kesalahan,kesalahan,TIDAK,YA,YA
sengaja,sengaja,TIDAK,YA,YA
dapat,dapat,TIDAK,YA,YA
membantu,membantu,TIDAK,YA,YA
merupakan,merupakan,TIDAK,YA,YA
hal,hal,TIDAK,YA,YA
wajib,wajib,TIDAK,YA,YA
bagi,bagi,TIDAK,YA,YA
terutama,terutama,TIDAK,YA,YA
sudah,sudah,TIDAK,YA,YA
berada,berada,TIDAK,YA,YA
semester,semester,TIDAK,YA,YA
mengerjakan,mengerjakan,TIDAK,YA,YA
kerja,kerja,TIDAK,YA,YA
kp,,YA,TIDAK,TIDAK
tugas,tugas,TIDAK,YA,YA
ta,ta,TIDAK,YA,YA
mengikuti,mengikuti,TIDAK,YA,YA
standar,standar,TIDAK,YA,YA
telah,telah,TIDAK,YA,YA
ditentukan,tentu,YA,YA,TIDAK
selain,selain,TIDAK,YA,YA
itu,itu,TIDAK,YA,YA
penyusunan,penyusunan,TIDAK,YA,YA
kaidah,kaidah,TIDAK,YA,YA
ada,ada,TIDAK,YA,YA
kamus,kamus,TIDAK,YA,YA
besar,besar,TIDAK,YA,YA
kbbi,KBBI,TIDAK,TIDAK,TIDAK
namun,namun,TIDAK,YA,YA
pada,pada,TIDAK,YA,YA
praktiknya,praktik,YA,YA,TIDAK
salah,salah,TIDAK,YA,YA
paling,paling,TIDAK,YA,YA
adanya,adanya,TIDAK,YA,YA
ketik,ketik,TIDAK,YA,YA
terjadi,terjadi,TIDAK,YA,YA
secara,secara,TIDAK,YA,YA
juga,juga,TIDAK,YA,YA
kadang,kadang,TIDAK,YA,YA
kesulitan,kesulitan,TIDAK,YA,YA
mencari,mencari,TIDAK,YA,YA
sehingga,sehingga,TIDAK,YA,YA
dikerjakan,kerja,YA,YA,TIDAK
melihat,melihat,TIDAK,YA,YA
masalah,masalah,TIDAK,YA,YA
tersebut,tersebut,TIDAK,YA,YA
penulis,penulis,TIDAK,YA,YA
memberikan,memberikan,TIDAK,YA,YA
solusi,solusi,TIDAK,YA,YA
membuatkan,membuatkan,TIDAK,YA,YA
sebuah,buah,YA,YA,TIDAK
program,program,TIDAK,YA,YA
mendeteksi,mendeteksi,TIDAK,YA,YA
sekaligus,sekaligus,TIDAK,YA,YA
menemukan,menemukan,TIDAK,YA,YA
ini,ini,TIDAK,YA,YA
untuk,untuk,TIDAK,YA,YA
mengurangi,mengurangi,TIDAK,YA,YA
universitas,universitas,TIDAK,YA,YA
katolik,katolik,TIDAK,YA,YA
de,de,TIDAK,YA,YA
la,la,TIDAK,YA,YA
salle,,YA,TIDAK,TIDAK
manado,,YA,TIDAK,TIDAK
akan,akan,TIDAK,YA,YA
melakukan,melakukan,TIDAK,YA,YA
setiap,setiap,TIDAK,YA,YA
pengecekan,pengecekan,TIDAK,YA,YA
pendeteksian,pendeteksian,TIDAK,YA,YA
metode,metode,TIDAK,YA,YA
fakultas,fakultas,TIDAK,YA,YA
teknik,teknik,TIDAK,YA,YA
daring,daring,TIDAK,YA,YA
mengecek,mengecek,TIDAK,YA,YA
jika,jika,TIDAK,YA,YA
scraping,,YA,TIDAK,TIDAK
merriam,,YA,TIDAK,TIDAK
webster,,YA,TIDAK,TIDAK
learning,,YA,TIDAK,TIDAK
sebagai,sebagai,TIDAK,YA,YA
cara,cara,TIDAK,YA,YA
istilah,istilah,TIDAK,YA,YA
asing,asing,TIDAK,YA,YA
text,,YA,TIDAK,TIDAK
data,data,TIDAK,YA,YA
hasil,hasil,TIDAK,YA,YA
manfaat,manfaat,TIDAK,YA,YA
hanya,hanya,TIDAK,YA,YA
dictionary,,YA,TIDAK,TIDAK
pendeteksi,deteksi,YA,YA,TIDAK
mahasiwa,,YA,TIDAK,TIDAK
reinformance,,YA,TIDAK,TIDAK
studi,studi,TIDAK,YA,YA
kasus,kasus,TIDAK,YA,YA
proposal,proposal,TIDAK,YA,YA
disusun,susun,YA,YA,TIDAK
oleh,oleh,TIDAK,YA,YA
refsi,,YA,TIDAK,TIDAK
gregorius,,YA,TIDAK,TIDAK
sangkay,,YA,TIDAK,TIDAK
bab,bab,TIDAK,YA,YA
i,i,TIDAK,YA,YA
pendahuluan,pendahuluan,TIDAK,YA,YA
latar,latar,TIDAK,YA,YA
belakang,belakang,TIDAK,YA,YA
kali,kali,TIDAK,YA,YA
banyaknya,banyak,YA,YA,TIDAK
sumber,sumber,TIDAK,YA,YA
kalimat,kalimat,TIDAK,YA,YA
dipecah,pecah,YA,YA,TIDAK
menjadi,menjadi,TIDAK,YA,YA
per,per,TIDAK,YA,YA
dicek,cek,YA,YA,TIDAK
ke,ke,TIDAK,YA,YA
web,,YA,TIDAK,TIDAK
request,,YA,TIDAK,TIDAK
internet,,YA,TIDAK,TIDAK
memeriksa,memeriksa,TIDAK,YA,YA
jumlah,jumlah,TIDAK,YA,YA
kendala,kendala,TIDAK,YA,YA
kecepatan,kecepatan,TIDAK,YA,YA
digunakan,guna,YA,YA,TIDAK
terdapat,terdapat,TIDAK,YA,YA
dianggap,anggap,YA,YA,TIDAK
valid,valid,TIDAK,YA,YA
aplikasi,aplikasi,TIDAK,YA,YA
mining,,YA,TIDAK,TIDAK
pemilahan,pilah,YA,YA,TIDAK
satu,satu,TIDAK,YA,YA
machine,,YA,TIDAK,TIDAK
klasifikasi,klasifikasi,TIDAK,YA,YA
maupun,maupun,TIDAK,YA,YA
agar,agar,TIDAK,YA,YA
selalu,selalu,TIDAK,YA,YA
awalnya,awal,YA,YA,TIDAK
dilatih,latih,YA,YA,TIDAK
barulah,baru,YA,YA,TIDAK
dilakukan,laku,YA,YA,TIDAK
kosakata,kosakata,TIDAK,YA,YA
baru,baru,TIDAK,YA,YA
didapat,dapat,YA,YA,TIDAK
disimpan,simpan,YA,YA,TIDAK
latih,latih,TIDAK,YA,YA
bekerja,bekerja,TIDAK,YA,YA
lebih,lebih,TIDAK,YA,YA
efektif,efektif,TIDAK,YA,YA
efisien,efisien,TIDAK,YA,YA
perumusan,perumusan,TIDAK,YA,YA
bagaimana,bagaimana,TIDAK,YA,YA
tujuan,tujuan,TIDAK,YA,YA
dari,dari,TIDAK,YA,YA
membuat,membuat,TIDAK,YA,YA
batasan,batasan,TIDAK,YA,YA
diketahui,tahu,YA,YA,TIDAK
masih,masih,TIDAK,YA,YA
terbatas,terbatas,TIDAK,YA,YA
mengenali,mengenali,TIDAK,YA,YA
singkatan,singkatan,TIDAK,YA,YA
bisa,bisa,TIDAK,YA,YA
membedakan,membedakan,TIDAK,YA,YA
sama,sama,TIDAK,YA,YA
tapi,tapi,TIDAK,YA,YA
memiliki,memiliki,TIDAK,YA,YA
arti,arti,TIDAK,YA,YA
berbeda,berbeda,TIDAK,YA,YA
dasar,dasar,TIDAK,YA,YA
dokumen,dokumen,TIDAK,YA,YA
bentuk,bentuk,TIDAK,YA,YA
file,,YA,TIDAK,TIDAK
jadwal,jadwal,TIDAK,YA,YA
daftar,daftar,TIDAK,YA,YA
pustaka,pustaka,TIDAK,YA,YA
definition,,YA,TIDAK,TIDAK
free,,YA,TIDAK,TIDAK
tersedia,tersedia,TIDAK,YA,YA
https,,YA,TIDAK,TIDAK
www,,YA,TIDAK,TIDAK
com,,YA,TIDAK,TIDAK
diakses,akses,YA,YA,TIDAK
jan,,YA,TIDAK,TIDAK
diberikan,beri,YA,YA,TIDAK
saran,saran,TIDAK,YA,YA
reward,,YA,TIDAK,TIDAK
tahap,tahap,TIDAK,YA,YA
teori,teori,TIDAK,YA,YA
analisis,analisis,TIDAK,YA,YA
perancangan,perancangan,TIDAK,YA,YA
maka,maka,TIDAK,YA,YA
penelitian,penelitian,TIDAK,YA,YA
tahapan,tahapan,TIDAK,YA,YA
berisi,berisi,TIDAK,YA,YA
kesimpulan,kesimpulan,TIDAK,YA,YA
reinforcement,,YA,TIDAK,TIDAK
jenis,jenis,TIDAK,YA,YA
yaitu,yaitu,TIDAK,YA,YA
koreksi,koreksi,TIDAK,YA,YA
semakin,semakin,TIDAK,YA,YA
banyak,banyak,TIDAK,YA,YA
metodologi,metodologi,TIDAK,YA,YA
dibuat,buat,YA,YA,TIDAK
pengujian,pengujian,TIDAK,YA,YA
menjelaskan,menjelaskan,TIDAK,YA,YA
nantinya,nantinya,TIDAK,YA,YA
semua,semua,TIDAK,YA,YA
dipelajari,ajar,YA,YA,TIDAK
pembelajaran,pembelajaran,TIDAK,YA,YA
rl,,YA,TIDAK,TIDAK
lingkungan,lingkungan,TIDAK,YA,YA
mendapat,mendapat,TIDAK,YA,YA
selanjutnya,selanjutnya,TIDAK,YA,YA
identifikasi,identifikasi,TIDAK,YA,YA
dialakukan,,YA,TIDAK,TIDAK
penentuan,penentuan,TIDAK,YA,YA
pembuatan,pembuatan,TIDAK,YA,YA
pengumpulan,pengumpulan,TIDAK,YA,YA
implementasi,implementasi,TIDAK,YA,YA
terhadap,terhadap,TIDAK,YA,YA
sistematika,sistematika,TIDAK,YA,YA
dibangun,bangun,YA,YA,TIDAK
didasarkan,dasar,YA,YA,TIDAK
langkah,langkah,TIDAK,YA,YA
khususnya,khusus,YA,YA,TIDAK
ditandai,tanda,YA,YA,TIDAK
mengenal,mengenal,TIDAK,YA,YA
dataset,,YA,TIDAK,TIDAK
sendiri,sendiri,TIDAK,YA,YA
dikoreksi,koreksi,YA,YA,TIDAK
beberapa,beberapa,TIDAK,YA,YA
supervised,,YA,TIDAK,TIDAK
unsupervised,,YA,TIDAK,TIDAK
terakhir,terakhir,TIDAK,YA,YA
diterapkan,terap,YA,YA,TIDAK
pendekatan,pendekatan,TIDAK,YA,YA
belajar,belajar,TIDAK,YA,YA
trial,,YA,TIDAK,TIDAK
error,,YA,TIDAK,TIDAK
mencapai,mencapai,TIDAK,YA,YA
memerlukan,memerlukan,TIDAK,YA,YA
lingkungannya,lingkung,YA,YA,TIDAK
menguji,menguji,TIDAK,YA,YA
state,,YA,TIDAK,TIDAK
signal,,YA,TIDAK,TIDAK
feedback,,YA,TIDAK,TIDAK
proses,proses,TIDAK,YA,YA
interaksi,interaksi,TIDAK,YA,YA
kita,kita,TIDAK,YA,YA
environment,,YA,TIDAK,TIDAK
sedangkan,sedangkan,TIDAK,YA,YA
respon,,YA,TIDAK,TIDAK
benar,benar,TIDAK,YA,YA
disebut,sebut,YA,YA,TIDAK
punishment,,YA,TIDAK,TIDAK
maksimal,maksimal,TIDAK,YA,YA
diperiksa,periksa,YA,YA,TIDAK
dikenal,kenal,YA,YA,TIDAK
baik,baik,TIDAK,YA,YA
berikut,berikut,TIDAK,YA,YA
permasalahan,permasalahan,TIDAK,YA,YA
menghasilkan,menghasilkan,TIDAK,YA,YA
judul,judul,TIDAK,YA,YA
menentukan,menentukan,TIDAK,YA,YA
berasal,berasal,TIDAK,YA,YA
jurnal,jurnal,TIDAK,YA,YA
artikel,artikel,TIDAK,YA,YA
buku,buku,TIDAK,YA,YA
kebutuhan,kebutuhan,TIDAK,YA,YA
dibutuhkan,butuh,YA,YA,TIDAK
dimulai,mulai,YA,YA,TIDAK
alur,alur,TIDAK,YA,YA
sampai,sampai,TIDAK,YA,YA
tampilan,tampil,YA,YA,TIDAK
antarmuka,antarmuka,TIDAK,YA,YA
penerapan,penerapan,TIDAK,YA,YA
berhasarkan,hasar,YA,YA,TIDAK
mana,mana,TIDAK,YA,YA
dalamnya,dalam,YA,YA,TIDAK
pengkodean,kode,YA,YA,TIDAK
berdasarkan,berdasarkan,TIDAK,YA,YA
algoritma,,YA,TIDAK,TIDAK
dipilih,pilih,YA,YA,TIDAK
keseluruhan,keseluruhan,TIDAK,YA,YA
memastikan,memastikan,TIDAK,YA,YA
fitur,,YA,TIDAK,TIDAK
berjalan,berjalan,TIDAK,YA,YA
dirancang,rancang,YA,YA,TIDAK
rekomendasi,rekomendasi,TIDAK,YA,YA
terdiri,terdiri,TIDAK,YA,YA
tujuh,tujuh,TIDAK,YA,YA
sub,,YA,TIDAK,TIDAK
membahas,membahas,TIDAK,YA,YA
ruang,ruang,TIDAK,YA,YA
lingkup,lingkup,TIDAK,YA,YA
ii,,YA,TIDAK,TIDAK
pendukung,pendukung,TIDAK,YA,YA
referensi,referensi,TIDAK,YA,YA
merancang,merancang,TIDAK,YA,YA
menyelesaikan,menyelesaikan,TIDAK,YA,YA
iii,,YA,TIDAK,TIDAK
persyaratan,persyaratan,TIDAK,YA,YA
iv,,YA,TIDAK,TIDAK
sebelumnya,belum,YA,YA,TIDAK
v,v,TIDAK,YA,YA
vi,,YA,TIDAK,TIDAK
tentang,tentang,TIDAK,YA,YA
evaluasi,evaluasi,TIDAK,YA,YA
uji,uji,TIDAK,YA,YA
coba,coba,TIDAK,YA,YA
terhadao,,YA,TIDAK,TIDAK
vii,,YA,TIDAK,TIDAK
mengenai,mengenai,TIDAK,YA,YA
pengajaran,pengajaran,TIDAK,YA,YA
pembangunan,pembangunan,TIDAK,YA,YA
karena,karena,TIDAK,YA,YA
saja,saja,TIDAK,YA,YA
membaca,membaca,TIDAK,YA,YA
penggunakan,guna,YA,YA,TIDAK
pencarian,pencarian,TIDAK,YA,YA
manual,manual,TIDAK,YA,YA
cukup,cukup,TIDAK,YA,YA
menyulitkan,menyulitkan,TIDAK,YA,YA
seteliti,teliti,YA,YA,TIDAK
apapun,apa,YA,YA,TIDAK
biasanya,biasanya,TIDAK,YA,YA
tetap,tetap,TIDAK,YA,YA
lolos,lolos,TIDAK,YA,YA
pengamatan,pengamatan,TIDAK,YA,YA
diketik,ketik,YA,YA,TIDAK
sekilas,sekilas,TIDAK,YA,YA
otak,otak,TIDAK,YA,YA
awal,awal,TIDAK,YA,YA
respons,respons,TIDAK,YA,YA
bergantung,bergantung,TIDAK,YA,YA
tertentu,tertentu,TIDAK,YA,YA
terhada,,YA,TIDAK,TIDAK
boolean,,YA,TIDAK,TIDAK
perpustakaan,perpustakaan,TIDAK,YA,YA
sistem,sistem,TIDAK,YA,YA
query,,YA,TIDAK,TIDAK
memudahkan,memudahkan,TIDAK,YA,YA
suara,suara,TIDAK,YA,YA
temu,temu,TIDAK,YA,YA
kembali,kembali,TIDAK,YA,YA
kunci,kunci,TIDAK,YA,YA
berbasis,bas,YA,YA,TIDAK
voice,,YA,TIDAK,TIDAK
recognition,,YA,TIDAK,TIDAK
seperti,seperti,TIDAK,YA,YA
informasi,informasi,TIDAK,YA,YA
citation,,YA,TIDAK,TIDAK
l,l,TIDAK,YA,YA
penyandang,penyandang,TIDAK,YA,YA
distabilitas,distabilitas,TIDAK,YA,YA
sangat,sangat,TIDAK,YA,YA
pengguna,pengguna,TIDAK,YA,YA
fai,,YA,TIDAK,TIDAK
and,,YA,TIDAK,TIDAK
or,,YA,TIDAK,TIDAK
jarak,jarak,TIDAK,YA,YA
terdekat,terdekat,TIDAK,YA,YA
majelis,majelis,TIDAK,YA,YA
pelanggaran,pelanggaran,TIDAK,YA,YA
hukum,hukum,TIDAK,YA,YA
cepat,cepat,TIDAK,YA,YA
tepat,tepat,TIDAK,YA,YA
pengunjung,pengunjung,TIDAK,YA,YA
perpustakan,pusta,YA,YA,TIDAK
sidang,sidang,TIDAK,YA,YA
angel,angel,TIDAK,YA,YA
amelia,,YA,TIDAK,TIDAK
leasiwal,,YA,TIDAK,TIDAK
sesuatu,sesuatu,TIDAK,YA,YA
penting,penting,TIDAK,YA,YA
jendela,jendela,TIDAK,YA,YA
ilmu,ilmu,TIDAK,YA,YA
memperoleh,memperoleh,TIDAK,YA,YA
pengetahuan,pengetahuan,TIDAK,YA,YA
pergi,pergi,TIDAK,YA,YA
fasilitas,fasilitas,TIDAK,YA,YA
disediakan,sedia,YA,YA,TIDAK
tempat,tempat,TIDAK,YA,YA
dicari,cari,YA,YA,TIDAK
mengetik,mengetik,TIDAK,YA,YA
penerbit,penerbit,TIDAK,YA,YA
pengarang,pengarang,TIDAK,YA,YA
mempercepat,mempercepat,TIDAK,YA,YA
penggunaan,penggunaan,TIDAK,YA,YA
disabilitas,,YA,TIDAK,TIDAK
inginkan,ingin,YA,YA,TIDAK
mengunakan,,YA,TIDAK,TIDAK
keyword,,YA,TIDAK,TIDAK
queries,,YA,TIDAK,TIDAK
information,,YA,TIDAK,TIDAK
retrieval,,YA,TIDAK,TIDAK
system,,YA,TIDAK,TIDAK
mendapatkan,mendapatkan,TIDAK,YA,YA
relevan,relevan,TIDAK,YA,YA
berupa,berupa,TIDAK,YA,YA
uang,uang,TIDAK,YA,YA
dikenali,nali,YA,YA,TIDAK
pengambilan,pengambilan,TIDAK,YA,YA
menampilkan,menampilkan,TIDAK,YA,YA
operator,operator,TIDAK,YA,YA
berarti,berarti,TIDAK,YA,YA
kedua,kedua,TIDAK,YA,YA
kueri,,YA,TIDAK,TIDAK
keduanya,dua,YA,YA,TIDAK
diimplementasikan,implementasi,YA,YA,TIDAK
perhitungan,perhitungan,TIDAK,YA,YA
lembaga,lembaga,TIDAK,YA,YA
swadaya,swadaya,TIDAK,YA,YA
masyarakat,masyarakat,TIDAK,YA,YA
murni,murni,TIDAK,YA,YA
bidang,bidang,TIDAK,YA,YA
dakwah,dakwah,TIDAK,YA,YA
petugas,petugas,TIDAK,YA,YA
kepolisian,kepolisian,TIDAK,YA,YA
mampu,mampu,TIDAK,YA,YA
isi,isi,TIDAK,YA,YA
berekstensi,ekstensi,YA,YA,TIDAK
docx,,YA,TIDAK,TIDAK
gunakan,guna,YA,YA,TIDAK
yul,,YA,TIDAK,TIDAK
diatas,atas,YA,YA,TIDAK
memudahkanpencarian,,YA,TIDAK,TIDAK
kondisi,kondisi,TIDAK,YA,YA
normal,normal,TIDAK,YA,YA
penyusuan,penyusuan,TIDAK,YA,YA
no,no,TIDAK,YA,YA
kegiatan,kegiatan,TIDAK,YA,YA
januari,januari,TIDAK,YA,YA
februari,februari,TIDAK,YA,YA
maret,maret,TIDAK,YA,YA
april,april,TIDAK,YA,YA
mei,mei,TIDAK,YA,YA
juni,juni,TIDAK,YA,YA
juli,juli,TIDAK,YA,YA
pengajuan,pengajuan,TIDAK,YA,YA
hardcopy,,YA,TIDAK,TIDAK
harcover,,YA,TIDAK,TIDAK
w,w,TIDAK,YA,YA
a,a,TIDAK,YA,YA
faisalnur,,YA,TIDAK,TIDAK
informatika,informatika,TIDAK,YA,YA
pp,,YA,TIDAK,TIDAK
n,n,TIDAK,YA,YA
yuliani,,YA,TIDAK,TIDAK
unwira,,YA,TIDAK,TIDAK
kupang,kupang,TIDAK,YA,YA
